tau_V,tau_G,tau_M,tau_T,w_V,w_G,w_M,FAR,FRR,AER
,36,76,64,,0.7,0.3,0.6666666666666666,56.111111111111114,28.38888888888889
,36,76,64,,0.75,0.25,0.6666666666666666,57.333333333333336,29.0
,36,76,64,,0.8,0.2,0.2222222222222222,58.55555555555556,29.38888888888889
,36,76,64,,0.85,0.15,0.2222222222222222,59.666666666666664,29.944444444444443
,36,76,64,,0.9,0.1,0.2222222222222222,61.0,30.61111111111111
,36,76,64,,0.95,0.05,0.2222222222222222,62.22222222222222,31.22222222222222
,36,76,66,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,66,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,66,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,66,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,66,,0.25,0.75,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,66,,0.3,0.7,1.5555555555555556,47.888888888888886,24.72222222222222
,36,76,66,,0.35,0.65,1.5555555555555556,48.333333333333336,24.944444444444446
,36,76,66,,0.4,0.6,1.3333333333333333,49.333333333333336,25.333333333333336
,36,76,66,,0.45,0.55,0.8888888888888888,50.77777777777778,25.833333333333332
,36,76,66,,0.5,0.5,0.8888888888888888,52.0,26.444444444444443
,36,76,66,,0.55,0.45,0.8888888888888888,53.55555555555556,27.22222222222222
,36,76,66,,0.6,0.4,0.6666666666666666,55.22222222222222,27.944444444444443
,36,76,66,,0.65,0.35,0.6666666666666666,56.77777777777778,28.72222222222222
,36,76,66,,0.7,0.3,0.4444444444444444,58.0,29.22222222222222
,36,76,66,,0.75,0.25,0.2222222222222222,59.55555555555556,29.88888888888889
,36,76,66,,0.8,0.2,0.2222222222222222,60.55555555555556,30.38888888888889
,36,76,66,,0.85,0.15,0.2222222222222222,62.22222222222222,31.22222222222222
,36,76,66,,0.9,0.1,0.2222222222222222,63.333333333333336,31.77777777777778
,36,76,66,,0.95,0.05,0.2222222222222222,64.88888888888889,32.55555555555556
,36,76,68,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,68,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,68,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,68,,0.2,0.8,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,68,,0.25,0.75,1.5555555555555556,48.0,24.77777777777778
,36,76,68,,0.3,0.7,1.5555555555555556,48.55555555555556,25.055555555555557
,36,76,68,,0.35,0.65,1.3333333333333333,49.44444444444444,25.38888888888889
,36,76,68,,0.4,0.6,0.8888888888888888,50.888888888888886,25.888888888888886
,36,76,68,,0.45,0.55,0.8888888888888888,52.666666666666664,26.777777777777775
,36,76,68,,0.5,0.5,0.8888888888888888,54.111111111111114,27.5
,36,76,68,,0.55,0.45,0.6666666666666666,56.111111111111114,28.38888888888889
,36,76,68,,0.6,0.4,0.6666666666666666,57.55555555555556,29.11111111111111
,36,76,68,,0.65,0.35,0.2222222222222222,59.44444444444444,29.833333333333332
,36,76,68,,0.7,0.3,0.2222222222222222,60.44444444444444,30.333333333333332
,36,76,68,,0.75,0.25,0.2222222222222222,61.888888888888886,31.055555555555554
,36,76,68,,0.8,0.2,0.2222222222222222,63.22222222222222,31.72222222222222
,36,76,68,,0.85,0.15,0.2222222222222222,65.11111111111111,32.66666666666667
,36,76,68,,0.9,0.1,0.0,66.44444444444444,33.22222222222222
,36,76,68,,0.95,0.05,0.0,68.33333333333333,34.166666666666664
,36,76,70,,0.05,0.95,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,70,,0.1,0.9,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,70,,0.15,0.85,1.7777777777777777,47.666666666666664,24.72222222222222
,36,76,70,,0.2,0.8,1.5555555555555556,48.0,24.77777777777778
,36,76,70,,0.25,0.75,1.5555555555555556,48.77777777777778,25.166666666666668
,36,76,70,,0.3,0.7,1.1111111111111112,49.666666666666664,25.38888888888889
